City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,flying fish cove,-10.4217,105.6791,24.82000000000005,83,100,5.14,CX,1722723967
106,colonia,50.9333,6.95,20.460000000000036,83,20,1.54,DE,1722723969
107,stanley,54.868,-1.6985,13.010000000000048,85,0,2.57,GB,1722723970
108,sukuta,13.4103,-16.7082,27.010000000000048,94,75,0.0,GM,1722723971
109,adre,13.4667,22.2,24.340000000000032,76,99,2.97,TD,1722723972
110,aqaba,29.5267,35.0078,32.920000000000016,35,0,6.69,JO,1722723973
111,avarua,-21.2078,-159.775,24.03000000000003,50,100,1.54,CK,1722723974
112,kuta,-8.7233,115.1723,24.970000000000027,94,40,2.06,ID,1722723975
113,yamethin,20.4333,96.15,23.350000000000023,94,100,3.44,MM,1722723976
114,payerne,46.822,6.9361,19.720000000000027,79,20,1.03,CH,1722723977
115,atafu village,-8.5421,-172.5159,28.28000000000003,75,52,6.48,TK,1722723979
116,port alfred,-33.5906,26.891,19.890000000000043,33,94,4.45,ZA,1722723980
117,georgetown,5.4112,100.3354,26.960000000000036,74,20,1.03,MY,1722723538
118,yuzhno-kurilsk,44.0306,145.8556,18.460000000000036,91,81,3.2,RU,1722723982
119,burwell,53.293,0.0346,15.620000000000005,67,53,2.06,GB,1722723983
120,cudworth,53.5713,-1.416,15.29000000000002,73,55,2.81,GB,1722723984
121,melfort,52.8667,-104.6177,22.07000000000005,30,12,2.06,CA,1722723985
122,palikir - national government center,6.9248,158.1611,30.470000000000027,66,20,2.57,FM,1722723986
123,margaret river,-33.95,115.0667,9.840000000000032,82,0,2.03,AU,1722723987
124,lensk,60.7253,114.9278,14.07000000000005,71,39,2.7,RU,1722723989
125,kayangel,8.0823,134.7173,28.720000000000027,75,99,6.59,PW,1722723990
126,vernon,50.2581,-119.2691,38.85000000000002,17,1,0.51,CA,1722723991
127,titay,7.8125,122.5344,22.82000000000005,93,99,0.93,PH,1722723992
128,carolina beach,34.0352,-77.8936,31.04000000000002,82,81,8.08,US,1722723993
129,tionk essil,12.7856,-16.5217,27.980000000000018,78,100,3.69,SN,1722723994
130,jamestown,42.097,-79.2353,23.80000000000001,86,100,4.12,US,1722723995
131,gole,52.4,19.0967,16.24000000000001,57,7,2.77,PL,1722723996
132,carnarvon,-24.8667,113.6333,16.24000000000001,58,0,4.79,AU,1722723998
133,naze,28.3667,129.4833,28.510000000000048,84,3,3.44,JP,1722723999
134,imbituba,-28.24,-48.6703,20.480000000000018,92,0,5.77,BR,1722723938
135,coquimbo,-29.9533,-71.3436,13.879999999999995,67,100,2.05,CL,1722723953
136,tinajo,29.0788,-13.7081,22.49000000000001,78,20,14.4,ES,1722724002
137,lincoln,40.8,-96.667,35.710000000000036,33,0,4.12,US,1722723900
138,waite park,45.5572,-94.2242,29.920000000000016,61,0,6.17,US,1722723860
139,qaqortoq,60.7167,-46.0333,8.650000000000034,73,16,2.6,GL,1722724005
140,marivan,35.5219,46.176,23.99000000000001,30,0,1.4,IR,1722724007
141,college,64.8569,-147.8028,13.990000000000009,87,100,1.54,US,1722724009
142,sihanoukville,10.6093,103.5296,25.970000000000027,94,40,1.03,KH,1722724010
143,manismata,-2.4667,111.0333,22.390000000000043,99,83,1.4,ID,1722724011
144,ta`u,-14.2336,-169.5144,26.390000000000043,66,74,4.36,AS,1722724012
145,lompoc,34.6391,-120.4579,29.210000000000036,52,0,5.01,US,1722724013
146,lihue,21.9789,-159.3672,27.77000000000004,70,100,4.12,US,1722724014
147,dakhla,23.6848,-15.958,22.010000000000048,88,40,1.03,EH,1722724015
148,hamilton,39.1834,-84.5333,31.470000000000027,62,40,6.17,US,1722723604
149,beyneu,45.3167,55.2,27.720000000000027,31,3,2.48,KZ,1722724018
150,cabedelo,-6.9811,-34.8339,24.370000000000005,78,2,6.24,BR,1722724019
151,portland,45.5234,-122.6762,30.32000000000005,35,75,2.06,US,1722724020
152,concepcion,-36.827,-73.0498,9.730000000000018,93,94,1.78,CL,1722723745
153,papatowai,-46.5619,169.4708,6.550000000000011,70,76,2.95,NZ,1722724022
154,sarangani,5.4033,125.4636,28.430000000000007,77,92,5.48,PH,1722724023
155,bikenibeu village,1.3673,173.1241,30.980000000000018,70,20,5.66,KI,1722724024
156,nemuro,43.3236,145.575,17.370000000000005,95,88,4.53,JP,1722724026
157,charters towers,-20.1,146.2667,13.770000000000039,85,2,4.08,AU,1722724027
158,lebu,-37.6167,-73.65,10.170000000000016,89,96,4.36,CL,1722724028
159,priargunsk,50.3691,119.1012,18.07000000000005,99,100,3.44,RU,1722724029
160,kingston,17.997,-76.7936,31.53000000000003,70,20,8.23,JM,1722724030
161,amlapura,-8.45,115.6167,22.980000000000018,89,76,2.85,ID,1722724031
162,belmonte,-15.8631,-38.8828,21.99000000000001,86,1,3.55,BR,1722724032
163,port blair,11.6667,92.75,26.02000000000004,94,100,1.03,IN,1722724033
164,hermanus,-34.4187,19.2345,10.450000000000045,79,84,8.24,ZA,1722724035
165,uturoa,-16.7333,-151.4333,24.700000000000045,67,96,5.53,PF,1722724036
166,tual,-5.6667,132.75,25.24000000000001,87,96,10.1,ID,1722724037
167,ayorou,14.7308,0.9174,26.200000000000045,72,100,3.66,NE,1722724038
168,remire-montjoly,4.9167,-52.2667,27.02000000000004,83,0,1.54,GF,1722724039
169,smithers,54.7804,-127.1743,28.180000000000007,16,0,4.63,CA,1722724040
170,jimma,7.6667,36.8333,15.980000000000018,97,100,0.78,ET,1722724041
171,yaroslavskiy,44.1683,132.2072,19.5,95,93,2.4,RU,1722724042
172,yatou,37.15,122.3833,26.430000000000007,93,2,2.55,CN,1722724043
173,daru,-9.0763,143.2092,23.80000000000001,84,100,8.17,PG,1722724045
174,sullivan,36.5168,-82.5332,27.75,76,11,0.45,US,1722723780
175,targuist,34.9377,-4.3186,22.54000000000002,30,0,1.48,MA,1722724048
176,lata,40.1629,-8.3327,18.370000000000005,92,0,1.15,PT,1722724049
